epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3072,2.05455,4.14427,0.00561,0.57647,0.33293,0.12931,0.06885,1.55466,2.95311,0.00648,0.000530063,0.000530063,0.000530063
2,41.4685,1.82305,2.71844,0.00473,0.56168,0.34002,0.34104,0.20016,1.59945,1.85048,0.00681,0.000997547,0.000997547,0.000997547
3,52.5101,1.82499,2.27984,0.00474,0.62733,0.38406,0.43124,0.23673,1.77072,1.70929,0.00699,0.001085,0.001085,0.001085
4,63.3495,1.77045,2.02104,0.00455,0.66554,0.44241,0.45924,0.29226,1.53152,1.29046,0.00632,0.0010025,0.0010025,0.0010025
5,74.1368,1.7132,1.73902,0.00453,0.68345,0.47296,0.52436,0.33347,1.53675,1.2355,0.00623,0.00092,0.00092,0.00092
6,101.479,1.55648,1.62885,0.00454,0.5312,0.55292,0.54648,0.31972,1.79026,1.12498,0.007,0.0008375,0.0008375,0.0008375
7,112.248,1.52399,1.40662,0.00442,0.50108,0.52729,0.55906,0.32624,1.68939,1.0683,0.00657,0.000755,0.000755,0.000755
8,123.096,1.49868,1.2882,0.00435,0.5191,0.56442,0.57192,0.36565,1.5938,1.05256,0.00639,0.0006725,0.0006725,0.0006725
9,133.293,1.48854,1.16835,0.00429,0.54681,0.62699,0.59961,0.38882,1.54903,0.98626,0.0061,0.00059,0.00059,0.00059
10,143.273,1.45015,1.10858,0.00417,0.56081,0.56782,0.60485,0.3939,1.51851,0.95945,0.00609,0.0005075,0.0005075,0.0005075
11,153.326,1.43515,1.04869,0.00415,0.55402,0.61114,0.60046,0.39288,1.48914,0.94127,0.00597,0.000425,0.000425,0.000425
12,163.668,1.43035,1.00929,0.00409,0.60853,0.56136,0.61551,0.3855,1.54553,0.9196,0.00609,0.0003425,0.0003425,0.0003425
13,174.254,1.3971,0.97998,0.00398,0.64243,0.56054,0.6129,0.38602,1.54903,0.89681,0.00634,0.00026,0.00026,0.00026
14,184.382,1.38632,0.94931,0.00392,0.58215,0.60217,0.61892,0.40632,1.48671,0.89639,0.00599,0.0001775,0.0001775,0.0001775
15,195.013,1.3648,0.91921,0.00394,0.61229,0.58633,0.62548,0.41935,1.42269,0.86338,0.00573,9.5e-05,9.5e-05,9.5e-05
