epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2502.86,1.08821,0.6564,0.00324,0.6445,0.76692,0.69292,0.45669,1.22527,0.80907,0.00655,0.000828443,0.000828443,0.000828443
43,2563.83,1.08568,0.65,0.00318,0.65548,0.73641,0.70545,0.46813,1.21231,0.83071,0.00647,0.000820525,0.000820525,0.000820525
44,2624.42,1.06857,0.63699,0.00315,0.70348,0.68207,0.7029,0.47697,1.2129,0.77455,0.00646,0.000812468,0.000812468,0.000812468
45,2686.21,1.07372,0.61974,0.0032,0.68227,0.70355,0.68521,0.45856,1.21825,0.79808,0.00653,0.000804277,0.000804277,0.000804277
46,2746.82,1.074,0.62089,0.0032,0.71189,0.71531,0.72899,0.47238,1.2278,0.79426,0.00659,0.000795954,0.000795954,0.000795954
47,2808.41,1.08806,0.61698,0.00325,0.69286,0.7637,0.73591,0.48348,1.22656,0.76729,0.00654,0.000787503,0.000787503,0.000787503
48,2870.4,1.08505,0.61891,0.00323,0.70243,0.71298,0.71224,0.46514,1.20451,0.83329,0.00639,0.000778929,0.000778929,0.000778929
49,2932.14,1.06274,0.60019,0.00308,0.68898,0.75084,0.71718,0.48768,1.20025,0.82424,0.0064,0.000770234,0.000770234,0.000770234
50,2992.42,1.05313,0.57898,0.00315,0.72556,0.71529,0.74133,0.48416,1.21996,0.7782,0.00648,0.000761423,0.000761423,0.000761423
51,3053.86,1.05326,0.57291,0.00307,0.66373,0.70842,0.69819,0.46815,1.21846,0.82949,0.00648,0.0007525,0.0007525,0.0007525
52,3113.86,1.05165,0.56743,0.00312,0.71907,0.69201,0.7111,0.47788,1.21503,0.8412,0.00654,0.000743468,0.000743468,0.000743468
