epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1028.33,1.14222,0.6786,0.0033,0.63953,0.67776,0.67978,0.46113,1.23821,0.84858,0.00636,0.000742625,0.000742625,0.000742625
43,1050.62,1.12847,0.67976,0.00329,0.64209,0.68995,0.69551,0.47221,1.23472,0.79612,0.0064,0.00073025,0.00073025,0.00073025
44,1076.09,1.11249,0.64995,0.00314,0.68049,0.68352,0.71789,0.4686,1.27112,0.80943,0.00657,0.000717875,0.000717875,0.000717875
45,1105.18,1.09701,0.62939,0.00319,0.65277,0.61128,0.68341,0.45805,1.21816,0.84133,0.00629,0.0007055,0.0007055,0.0007055
46,1134.52,1.11216,0.63849,0.00313,0.6589,0.70883,0.7036,0.47186,1.2173,0.81133,0.00627,0.000693125,0.000693125,0.000693125
47,1162.61,1.11351,0.63625,0.00318,0.64,0.66065,0.69722,0.46363,1.219,0.85879,0.00629,0.00068075,0.00068075,0.00068075
48,1189.48,1.09447,0.63285,0.00315,0.66319,0.66283,0.69049,0.45518,1.22905,0.86971,0.00638,0.000668375,0.000668375,0.000668375
49,1210.54,1.08432,0.60959,0.00313,0.67474,0.61336,0.67023,0.45323,1.23749,0.87026,0.00634,0.000656,0.000656,0.000656
50,1232.68,1.09363,0.6045,0.00304,0.65065,0.63023,0.67697,0.45431,1.22935,0.87149,0.00631,0.000643625,0.000643625,0.000643625
51,1255.52,1.08453,0.60786,0.0031,0.66814,0.68073,0.6902,0.44856,1.24045,0.85278,0.00642,0.00063125,0.00063125,0.00063125
52,1279.74,1.08233,0.59786,0.003,0.65478,0.69406,0.68918,0.45168,1.22723,0.83693,0.00633,0.000618875,0.000618875,0.000618875
