epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1023.48,1.12852,0.68899,0.00331,0.68968,0.71233,0.71182,0.47324,1.23139,0.82719,0.00667,0.000828443,0.000828443,0.000828443
43,1047.77,1.13718,0.71133,0.00332,0.68805,0.64786,0.69957,0.46402,1.25043,0.80837,0.00673,0.000820525,0.000820525,0.000820525
44,1072.76,1.12266,0.6853,0.00324,0.65764,0.76155,0.71928,0.47374,1.21843,0.81127,0.00648,0.000812468,0.000812468,0.000812468
45,1097.44,1.10436,0.6618,0.00325,0.64167,0.72579,0.6952,0.46277,1.23657,0.83875,0.00665,0.000804277,0.000804277,0.000804277
46,1122.84,1.12025,0.66878,0.00328,0.60845,0.7582,0.69831,0.45925,1.25166,0.85798,0.00678,0.000795954,0.000795954,0.000795954
47,1148.24,1.10824,0.66674,0.00322,0.66909,0.7107,0.7195,0.48059,1.24049,0.79639,0.00664,0.000787503,0.000787503,0.000787503
48,1173.65,1.11421,0.66541,0.00326,0.64752,0.71051,0.69494,0.46231,1.22288,0.7803,0.00656,0.000778929,0.000778929,0.000778929
49,1198.13,1.10501,0.64836,0.00316,0.65413,0.68245,0.71892,0.48028,1.24889,0.83746,0.00664,0.000770234,0.000770234,0.000770234
50,1223.19,1.0933,0.63297,0.00321,0.66418,0.6804,0.68755,0.45248,1.22908,0.87711,0.00657,0.000761423,0.000761423,0.000761423
51,1248.52,1.10885,0.65103,0.00317,0.65364,0.71566,0.7088,0.47145,1.23854,0.83168,0.0067,0.0007525,0.0007525,0.0007525
52,1274.04,1.09343,0.631,0.00318,0.64823,0.72991,0.69256,0.45943,1.23339,0.86599,0.00655,0.000743468,0.000743468,0.000743468
53,1299.81,1.09068,0.62968,0.00313,0.66832,0.71962,0.71114,0.47084,1.2398,0.83651,0.00656,0.000734332,0.000734332,0.000734332
54,1325.33,1.07721,0.61327,0.00312,0.67493,0.71036,0.71026,0.46997,1.23898,0.85148,0.00665,0.000725094,0.000725094,0.000725094
55,1350.96,1.0725,0.62505,0.00311,0.61394,0.73916,0.70439,0.46811,1.23144,0.8435,0.0066,0.000715761,0.000715761,0.000715761
56,1376.21,1.08374,0.62189,0.00311,0.77959,0.64816,0.7176,0.46058,1.26655,0.86942,0.0068,0.000706335,0.000706335,0.000706335
57,1401.66,1.07852,0.62215,0.0031,0.65783,0.66341,0.69172,0.437,1.27902,0.85327,0.00683,0.00069682,0.00069682,0.00069682
58,1427.15,1.07287,0.61098,0.00308,0.70759,0.69098,0.70773,0.45875,1.27117,0.83797,0.00678,0.000687222,0.000687222,0.000687222
59,1452.48,1.06165,0.60097,0.00307,0.69972,0.6887,0.71781,0.47472,1.25025,0.88918,0.0068,0.000677543,0.000677543,0.000677543
60,1477.5,1.06261,0.60526,0.00304,0.7046,0.72857,0.72213,0.46899,1.25566,0.85128,0.00679,0.000667789,0.000667789,0.000667789
61,1502.52,1.05311,0.605,0.00304,0.66924,0.72409,0.72035,0.46929,1.25379,0.82457,0.00671,0.000657963,0.000657963,0.000657963
62,1526.88,1.03832,0.57551,0.00303,0.69577,0.69641,0.72137,0.48182,1.23729,0.8641,0.00667,0.000648071,0.000648071,0.000648071
63,1552.4,1.04023,0.58961,0.00298,0.7254,0.72165,0.72944,0.48377,1.23705,0.84824,0.00664,0.000638115,0.000638115,0.000638115
64,1578.16,1.04477,0.57398,0.00305,0.65954,0.72219,0.70224,0.46171,1.261,0.86442,0.00676,0.000628101,0.000628101,0.000628101
65,1609.85,1.03522,0.55817,0.00296,0.67845,0.67993,0.6825,0.45525,1.24921,0.88927,0.00667,0.000618034,0.000618034,0.000618034
66,1642.44,1.02537,0.56154,0.00292,0.61821,0.76315,0.71357,0.46288,1.25355,0.86216,0.00675,0.000607916,0.000607916,0.000607916
67,1675.4,1.03235,0.56633,0.00301,0.67669,0.72208,0.70763,0.45912,1.28504,0.86113,0.00704,0.000597754,0.000597754,0.000597754
