epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4949,1.61538,4.10747,0.00513,0.01662,0.46237,0.11957,0.06494,1.25092,3.08451,0.00667,0.000440789,0.000440789,0.000440789
2,31.1901,1.38604,2.639,0.00423,0.52777,0.30425,0.35183,0.22115,1.2325,1.99104,0.00647,0.000829539,0.000829539,0.000829539
3,48.8132,1.36249,2.14449,0.00407,0.65279,0.46592,0.42732,0.2702,1.36043,1.46033,0.007,0.001085,0.001085,0.001085
4,131.035,1.36943,1.84882,0.00411,0.72686,0.45156,0.48486,0.31234,1.23768,1.23202,0.00638,0.0010025,0.0010025,0.0010025
