epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,681.893,1.43508,2.73593,0.00442,0.6745,0.43202,0.45674,0.28675,1.36451,1.33017,0.00742,0.000411255,0.000411255,0.000411255
2,1248.88,1.33925,1.19702,0.00398,0.64109,0.58601,0.65534,0.40758,1.31195,0.97884,0.00699,0.000773279,0.000773279,0.000773279
3,1801.28,1.34663,1.04849,0.00411,0.63332,0.61517,0.62006,0.40842,1.26749,0.97729,0.00655,0.0010803,0.0010803,0.0010803
4,2520.39,1.32036,0.95256,0.00398,0.76706,0.5997,0.68413,0.45535,1.21795,0.88743,0.00631,0.0010025,0.0010025,0.0010025
5,2926.83,1.26189,0.84771,0.00384,0.66718,0.69013,0.71737,0.47077,1.22388,0.89927,0.00621,0.00092,0.00092,0.00092
6,3260.83,1.23908,0.79175,0.00437,0.7073,0.69297,0.72554,0.4708,1.2344,0.76031,0.00628,0.0008375,0.0008375,0.0008375
7,3402.13,1.20459,0.72529,0.00417,0.69018,0.69922,0.71383,0.47103,1.22908,0.71175,0.00635,0.000755,0.000755,0.000755
8,3542.17,1.17476,0.71164,0.00418,0.69643,0.72394,0.76226,0.50467,1.21583,0.67415,0.00623,0.0006725,0.0006725,0.0006725
9,3716.61,1.15102,0.66628,0.00393,0.73406,0.68633,0.74707,0.49818,1.19017,0.73307,0.00604,0.00059,0.00059,0.00059
10,3888.57,1.13169,0.61779,0.0039,0.76186,0.69442,0.7598,0.52106,1.1759,0.68592,0.00612,0.0005075,0.0005075,0.0005075
11,4030.32,1.10268,0.58866,0.00382,0.76466,0.7493,0.776,0.53655,1.16722,0.69919,0.00597,0.000425,0.000425,0.000425
12,4180.45,1.08056,0.55637,0.00367,0.70263,0.79804,0.78117,0.54111,1.15797,0.68441,0.00584,0.0003425,0.0003425,0.0003425
13,4328.54,1.05881,0.51125,0.0036,0.80979,0.76973,0.79469,0.53494,1.18897,0.66579,0.00598,0.00026,0.00026,0.00026
14,4490.08,1.05837,0.50019,0.00366,0.81159,0.71263,0.78065,0.54308,1.18359,0.68119,0.00611,0.0001775,0.0001775,0.0001775
15,4633.12,1.03074,0.49128,0.00351,0.76803,0.79009,0.79907,0.55082,1.16392,0.66383,0.00591,9.5e-05,9.5e-05,9.5e-05
